aX,aY,aZ,gX,gY,gZ
-0.9324951171875,-1.7626953125,1.38232421875,28.076171875,134.09423828125,-31.1279296875
-0.9774169921875,-1.8389892578125,1.3614501953125,26.3671875,148.3154296875,-25.146484375
-1.0614013671875,-1.9398193359375,1.3302001953125,23.193359375,162.2314453125,-19.287109375
-1.1527099609375,-2.0382080078125,1.292236328125,17.63916015625,176.45263671875,-12.75634765625
-1.249755859375,-2.13671875,1.2469482421875,9.94873046875,191.162109375,-5.7373046875
-1.374755859375,-2.221435546875,1.2098388671875,1.8310546875,205.9326171875,1.89208984375
-1.4971923828125,-2.308349609375,1.1600341796875,-5.06591796875,220.64208984375,10.25390625
-1.6392822265625,-2.4097900390625,1.10595703125,-8.9111328125,235.65673828125,18.798828125
-1.7950439453125,-2.5224609375,1.0572509765625,-10.986328125,250.30517578125,27.77099609375
-1.9593505859375,-2.685546875,1.008056640625,-11.41357421875,265.80810546875,37.29248046875
-2.10498046875,-2.8243408203125,0.9559326171875,-10.498046875,281.92138671875,47.8515625
-2.259765625,-2.9539794921875,0.875,-7.87353515625,298.583984375,58.9599609375
-2.406494140625,-3.048828125,0.7874755859375,-1.64794921875,315.73486328125,70.80078125
-2.570556640625,-3.137451171875,0.6702880859375,6.77490234375,332.3974609375,83.55712890625
-2.7305908203125,-3.2020263671875,0.54736328125,13.427734375,347.83935546875,97.65625
-2.8887939453125,-3.263916015625,0.408935546875,14.2822265625,362.060546875,112.48779296875
-3.04833984375,-3.3118896484375,0.25439453125,6.9580078125,375.6103515625,127.44140625
-3.2178955078125,-3.3499755859375,0.1046142578125,-8.60595703125,388.5498046875,142.4560546875
-3.36865234375,-3.3577880859375,-0.032470703125,-31.18896484375,400.634765625,155.76171875
-3.510498046875,-3.357666015625,-0.1732177734375,-57.9833984375,412.29248046875,166.50390625
-3.654541015625,-3.3067626953125,-0.288330078125,-83.80126953125,423.828125,173.88916015625
-3.818115234375,-3.23583984375,-0.4088134765625,-100.76904296875,434.5703125,178.8330078125
-3.959716796875,-3.200927734375,-0.5626220703125,-106.01806640625,444.2138671875,181.94580078125
-3.99951171875,-3.1920166015625,-0.7293701171875,-101.98974609375,452.20947265625,184.2041015625
-3.99951171875,-3.2076416015625,-0.9091796875,-94.482421875,458.49609375,186.5234375
-3.99951171875,-3.2257080078125,-1.056396484375,-87.5244140625,462.58544921875,189.75830078125
-3.99951171875,-3.2254638671875,-1.1754150390625,-81.72607421875,464.84375,194.091796875
-3.99951171875,-3.198974609375,-1.2596435546875,-74.89013671875,464.78271484375,199.76806640625
-3.99951171875,-3.158447265625,-1.341796875,-66.5283203125,462.95166015625,206.787109375
-3.99951171875,-3.087890625,-1.45068359375,-56.396484375,459.716796875,215.087890625
-3.99951171875,-3.0394287109375,-1.5772705078125,-44.49462890625,453.9794921875,225.341796875
-3.99951171875,-3.017333984375,-1.7298583984375,-33.38623046875,444.64111328125,237.97607421875
-3.99951171875,-2.99951171875,-1.8865966796875,-26.2451171875,432.2509765625,253.11279296875
-3.99951171875,-2.9422607421875,-2.012451171875,-23.25439453125,417.66357421875,270.3857421875
-3.99951171875,-2.87939453125,-2.0887451171875,-22.4609375,401.91650390625,288.9404296875
-3.99951171875,-2.794921875,-2.1375732421875,-24.2919921875,385.31494140625,307.6171875
-3.99951171875,-2.67626953125,-2.1451416015625,-27.77099609375,368.59130859375,325.86669921875
-3.99951171875,-2.5455322265625,-2.13623046875,-30.3955078125,351.6845703125,342.46826171875
-3.99951171875,-2.424560546875,-2.1112060546875,-32.16552734375,335.0830078125,357.2998046875
-3.99951171875,-2.2901611328125,-2.0775146484375,-33.38623046875,318.9697265625,370.30029296875
-3.99951171875,-2.137939453125,-2.036865234375,-32.89794921875,303.7109375,381.9580078125
-3.99951171875,-1.9951171875,-1.993896484375,-31.005859375,289.794921875,392.02880859375
-3.99951171875,-1.8759765625,-1.9443359375,-27.34375,276.4892578125,399.4140625
-3.99951171875,-1.7691650390625,-1.885986328125,-23.74267578125,263.85498046875,404.35791015625
-3.99951171875,-1.6953125,-1.85205078125,-21.05712890625,251.953125,407.40966796875
-3.99951171875,-1.614501953125,-1.803955078125,-20.69091796875,241.3330078125,409.912109375
-3.9884033203125,-1.53271484375,-1.781005859375,-21.91162109375,231.8115234375,412.04833984375
-3.904296875,-1.4453125,-1.7669677734375,-23.5595703125,222.65625,413.87939453125
-3.8013916015625,-1.3289794921875,-1.7301025390625,-25.7568359375,214.2333984375,414.73388671875
-3.6600341796875,-1.2218017578125,-1.7215576171875,-28.01513671875,206.298828125,414.97802734375
-3.56103515625,-1.1148681640625,-1.7069091796875,-29.296875,198.6083984375,414.73388671875
-3.4654541015625,-1.00537109375,-1.68359375,-29.541015625,190.73486328125,413.4521484375
-3.3533935546875,-0.9063720703125,-1.68115234375,-28.25927734375,182.0068359375,412.109375
-3.239501953125,-0.8035888671875,-1.6629638671875,-26.611328125,172.66845703125,410.400390625
-3.1492919921875,-0.7083740234375,-1.6383056640625,-23.5595703125,163.0859375,408.3251953125
-3.0626220703125,-0.614501953125,-1.6090087890625,-20.01953125,153.86962890625,405.8837890625
-2.96533203125,-0.526611328125,-1.5814208984375,-15.5029296875,145.20263671875,403.564453125
-2.827392578125,-0.4512939453125,-1.5521240234375,-10.55908203125,136.65771484375,401.55029296875
-2.795166015625,-0.344970703125,-1.5047607421875,-6.16455078125,128.5400390625,399.10888671875
-2.7060546875,-0.2506103515625,-1.4857177734375,-0.79345703125,120.60546875,396.91162109375
-2.609375,-0.1602783203125,-1.4822998046875,5.55419921875,112.3046875,394.8974609375
-2.5482177734375,-0.0745849609375,-1.4866943359375,12.63427734375,103.57666015625,392.333984375
-2.48681640625,0.013427734375,-1.4952392578125,19.53125,94.66552734375,389.09912109375
-2.4241943359375,0.102783203125,-1.51806640625,25.634765625,85.14404296875,385.1318359375
-2.321044921875,0.1923828125,-1.5386962890625,30.33447265625,74.951171875,380.2490234375
-2.230712890625,0.269287109375,-1.557861328125,34.7900390625,64.3310546875,374.45068359375
-2.1671142578125,0.3416748046875,-1.5650634765625,38.57421875,52.6123046875,368.408203125
-2.12451171875,0.4112548828125,-1.56689453125,40.46630859375,40.95458984375,361.63330078125
-2.0635986328125,0.4833984375,-1.5606689453125,39.36767578125,29.9072265625,354.43115234375
-1.9935302734375,0.5579833984375,-1.5428466796875,35.888671875,19.4091796875,347.22900390625
-1.92578125,0.6474609375,-1.5306396484375,30.82275390625,10.009765625,339.9658203125
-1.85791015625,0.7403564453125,-1.53271484375,25.87890625,1.46484375,332.03125
-1.7960205078125,0.833251953125,-1.5274658203125,21.42333984375,-6.40869140625,323.91357421875
-1.74755859375,0.925537109375,-1.521484375,18.5546875,-14.404296875,314.697265625
-1.692138671875,1.01953125,-1.5013427734375,16.05224609375,-23.25439453125,304.5654296875
-1.6221923828125,1.126708984375,-1.4622802734375,13.5498046875,-31.43310546875,293.5791015625
-1.5452880859375,1.237548828125,-1.4163818359375,10.31494140625,-38.63525390625,282.71484375
-1.4532470703125,1.3455810546875,-1.36376953125,7.26318359375,-45.22705078125,271.66748046875
-1.3538818359375,1.448974609375,-1.30615234375,4.8828125,-51.08642578125,260.07080078125
-1.2628173828125,1.5513916015625,-1.2579345703125,4.2724609375,-56.09130859375,247.86376953125
-1.1878662109375,1.637939453125,-1.2147216796875,5.7373046875,-60.791015625,235.16845703125
-1.1170654296875,1.6907958984375,-1.1688232421875,9.521484375,-65.12451171875,220.947265625
-1.06591796875,1.72314453125,-1.1142578125,14.7705078125,-69.39697265625,206.48193359375
-1.0189208984375,1.7674560546875,-1.05224609375,20.751953125,-73.54736328125,192.81005859375
-0.9520263671875,1.81591796875,-0.9752197265625,25.20751953125,-77.2705078125,179.8095703125
-0.890869140625,1.8055419921875,-0.89892578125,27.77099609375,-80.078125,168.5791015625
-0.8284912109375,1.8031005859375,-0.8150634765625,27.587890625,-82.03125,156.43310546875
-0.7559814453125,1.82373046875,-0.7296142578125,25.69580078125,-83.0078125,143.37158203125
-0.6824951171875,1.8526611328125,-0.653564453125,22.94921875,-82.8857421875,131.16455078125
-0.6148681640625,1.8642578125,-0.5880126953125,19.4091796875,-81.84814453125,119.07958984375
-0.5400390625,1.855224609375,-0.5333251953125,16.4794921875,-80.26123046875,107.0556640625
-0.4864501953125,1.8331298828125,-0.4893798828125,14.95361328125,-78.18603515625,95.0927734375
-0.4442138671875,1.8040771484375,-0.456787109375,14.5263671875,-75.927734375,83.55712890625
-0.407470703125,1.7784423828125,-0.42822265625,15.5029296875,-73.3642578125,72.265625
-0.365966796875,1.7626953125,-0.400390625,17.578125,-70.61767578125,61.09619140625
