aX,aY,aZ,gX,gY,gZ
-0.8382568359375,-2.70703125,-0.6920166015625,122.74169921875,-147.88818359375,151.55029296875
-1.039306640625,-2.7579345703125,-0.7041015625,122.314453125,-162.9638671875,157.53173828125
-1.2679443359375,-2.8438720703125,-0.6826171875,128.60107421875,-178.52783203125,164.48974609375
-1.50732421875,-2.9600830078125,-0.6553955078125,135.43701171875,-194.3359375,172.42431640625
-1.756591796875,-3.0860595703125,-0.60791015625,135.55908203125,-209.77783203125,181.640625
-2.0035400390625,-3.1678466796875,-0.562744140625,126.708984375,-224.42626953125,192.138671875
-2.2427978515625,-3.201171875,-0.521484375,113.6474609375,-238.46435546875,202.94189453125
-2.4537353515625,-3.21533203125,-0.487548828125,101.806640625,-251.8310546875,214.35546875
-2.683349609375,-3.270263671875,-0.419189453125,94.1162109375,-265.0146484375,225.9521484375
-2.9315185546875,-3.3492431640625,-0.31982421875,89.41650390625,-277.40478515625,237.85400390625
-3.185546875,-3.4163818359375,-0.2154541015625,83.80126953125,-288.818359375,249.8779296875
-3.4049072265625,-3.45654296875,-0.102294921875,76.904296875,-298.40087890625,262.75634765625
-3.614990234375,-3.4766845703125,0.0137939453125,67.81005859375,-306.21337890625,275.7568359375
-3.8211669921875,-3.4566650390625,0.1353759765625,57.80029296875,-311.95068359375,288.63525390625
-3.983154296875,-3.37353515625,0.250244140625,49.86572265625,-315.61279296875,301.26953125
-3.99951171875,-3.29052734375,0.342041015625,47.4853515625,-316.89453125,312.56103515625
-3.99951171875,-3.2178955078125,0.453369140625,51.81884765625,-317.7490234375,322.265625
-3.99951171875,-3.1275634765625,0.526611328125,61.95068359375,-317.32177734375,330.50537109375
-3.99951171875,-3.0333251953125,0.58740234375,73.79150390625,-317.138671875,336.60888671875
-3.99951171875,-2.980224609375,0.5953369140625,85.693359375,-316.95556640625,339.9658203125
-3.99951171875,-2.89208984375,0.629638671875,93.20068359375,-317.56591796875,341.4306640625
-3.99951171875,-2.7857666015625,0.6346435546875,94.482421875,-317.7490234375,341.1865234375
-3.99951171875,-2.6710205078125,0.6431884765625,93.017578125,-317.56591796875,340.33203125
-3.99951171875,-2.59619140625,0.6549072265625,90.63720703125,-317.32177734375,337.95166015625
-3.99951171875,-2.5621337890625,0.7198486328125,87.0361328125,-316.46728515625,334.77783203125
-3.99951171875,-2.498291015625,0.749755859375,81.787109375,-313.720703125,332.03125
-3.99951171875,-2.4317626953125,0.7664794921875,75.74462890625,-309.63134765625,328.91845703125
-3.98046875,-2.3592529296875,0.773681640625,67.7490234375,-304.13818359375,325.37841796875
-3.813720703125,-2.25146484375,0.7520751953125,57.31201171875,-296.93603515625,321.6552734375
-3.6568603515625,-2.1435546875,0.72265625,47.119140625,-288.9404296875,318.29833984375
-3.4566650390625,-2.0863037109375,0.7117919921875,39.00146484375,-280.3955078125,314.39208984375
-3.3060302734375,-2.0550537109375,0.72705078125,33.935546875,-270.8740234375,310.72998046875
-3.155029296875,-2.02197265625,0.7559814453125,31.43310546875,-260.43701171875,308.4716796875
-3.086181640625,-1.989013671875,0.759521484375,30.029296875,-248.291015625,306.0302734375
-3.03955078125,-1.924560546875,0.7530517578125,30.6396484375,-235.3515625,303.22265625
-2.884521484375,-1.8204345703125,0.7421875,35.82763671875,-221.923828125,299.13330078125
-2.6944580078125,-1.701904296875,0.7080078125,47.9736328125,-209.5947265625,293.8232421875
-2.5194091796875,-1.6043701171875,0.6361083984375,66.83349609375,-198.8525390625,287.29248046875
-2.3133544921875,-1.5577392578125,0.5697021484375,88.623046875,-190.61279296875,279.60205078125
-2.197998046875,-1.56640625,0.52392578125,107.7880859375,-184.2041015625,271.240234375
-2.1041259765625,-1.562744140625,0.472900390625,120.7275390625,-178.8330078125,263.3056640625
-1.924072265625,-1.5767822265625,0.4168701171875,127.86865234375,-174.62158203125,255.7373046875
-1.83642578125,-1.5745849609375,0.3642578125,131.16455078125,-171.38671875,248.71826171875
-1.7230224609375,-1.55224609375,0.328125,130.67626953125,-168.39599609375,242.85888671875
-1.6182861328125,-1.4976806640625,0.2786865234375,128.41796875,-165.8935546875,237.060546875
