aX,aY,aZ,gX,gY,gZ
-1.819091796875,-1.41552734375,-0.9254150390625,64.8193359375,-304.87060546875,-38.4521484375
-1.899169921875,-1.4415283203125,-0.8792724609375,50.29296875,-313.8427734375,-39.24560546875
-1.980712890625,-1.4725341796875,-0.8251953125,38.02490234375,-321.83837890625,-39.6728515625
-2.0560302734375,-1.50244140625,-0.770751953125,29.72412109375,-329.28466796875,-39.12353515625
-2.12158203125,-1.54541015625,-0.72509765625,25.634765625,-336.181640625,-37.90283203125
-2.173095703125,-1.59765625,-0.6917724609375,24.35302734375,-342.59033203125,-36.31591796875
-2.219970703125,-1.6683349609375,-0.6688232421875,24.169921875,-348.5107421875,-33.935546875
-2.2603759765625,-1.738525390625,-0.6461181640625,22.5830078125,-354.06494140625,-30.76171875
-2.3150634765625,-1.8211669921875,-0.6077880859375,19.22607421875,-359.68017578125,-26.611328125
-2.3455810546875,-1.888671875,-0.55908203125,13.36669921875,-364.68505859375,-21.6064453125
-2.3587646484375,-1.944091796875,-0.51318359375,6.103515625,-368.896484375,-15.93017578125
-2.368408203125,-1.9840087890625,-0.482421875,-2.8076171875,-371.76513671875,-9.70458984375
-2.3948974609375,-2.009033203125,-0.4642333984375,-12.63427734375,-373.71826171875,-3.47900390625
-2.4326171875,-2.0277099609375,-0.4530029296875,-21.78955078125,-374.69482421875,3.60107421875
-2.4749755859375,-2.060791015625,-0.4326171875,-27.83203125,-375.48828125,10.92529296875
-2.4827880859375,-2.095703125,-0.4090576171875,-28.80859375,-376.8310546875,18.6767578125
-2.4781494140625,-2.1298828125,-0.3907470703125,-26.06201171875,-377.99072265625,27.2216796875
-2.4903564453125,-2.1717529296875,-0.36962890625,-22.52197265625,-378.84521484375,35.888671875
-2.5025634765625,-2.2021484375,-0.348876953125,-19.34814453125,-379.2724609375,44.921875
-2.50537109375,-2.2215576171875,-0.3135986328125,-15.869140625,-379.2724609375,53.7109375
-2.52783203125,-2.2542724609375,-0.2806396484375,-13.12255859375,-378.7841796875,62.6220703125
-2.571044921875,-2.2945556640625,-0.2491455078125,-10.25390625,-378.2958984375,71.6552734375
-2.57177734375,-2.3453369140625,-0.204345703125,-7.080078125,-377.44140625,81.11572265625
-2.563720703125,-2.393798828125,-0.1663818359375,-3.41796875,-376.15966796875,90.6982421875
-2.5654296875,-2.4603271484375,-0.1197509765625,0.30517578125,-373.9013671875,100.830078125
-2.541748046875,-2.5150146484375,-0.067626953125,3.662109375,-370.60546875,111.4501953125
-2.5286865234375,-2.5694580078125,-0.0130615234375,7.75146484375,-367.3095703125,122.0703125
-2.5081787109375,-2.61865234375,0.0316162109375,12.451171875,-364.07470703125,132.4462890625
-2.5086669921875,-2.6585693359375,0.0704345703125,15.93017578125,-360.83984375,142.822265625
-2.5159912109375,-2.701904296875,0.114990234375,16.357421875,-358.88671875,152.16064453125
-2.517333984375,-2.7578125,0.182373046875,13.24462890625,-357.0556640625,160.58349609375
-2.50048828125,-2.7891845703125,0.2679443359375,7.87353515625,-355.28564453125,168.51806640625
-2.417724609375,-2.810302734375,0.377685546875,0.9765625,-352.6611328125,176.26953125
-2.406982421875,-2.7825927734375,0.460693359375,-5.06591796875,-349.853515625,184.14306640625
-2.4354248046875,-2.7613525390625,0.5001220703125,-6.4697265625,-345.88623046875,191.7724609375
-2.44189453125,-2.7213134765625,0.52685546875,-6.16455078125,-340.087890625,199.52392578125
-2.42578125,-2.675048828125,0.559326171875,-7.38525390625,-333.1298828125,207.275390625
-2.4298095703125,-2.607666015625,0.5958251953125,-10.6201171875,-326.47705078125,215.087890625
-2.45751953125,-2.52587890625,0.6436767578125,-16.845703125,-320.25146484375,223.69384765625
-2.4830322265625,-2.43212890625,0.680419921875,-25.5126953125,-314.0869140625,233.3984375
-2.5054931640625,-2.3402099609375,0.712890625,-34.85107421875,-307.7392578125,242.85888671875
-2.4716796875,-2.235595703125,0.7532958984375,-43.5791015625,-300.78125,251.5869140625
