aX,aY,aZ,gX,gY,gZ
-1.6832275390625,-0.859619140625,-1.6124267578125,242.12646484375,-184.326171875,-201.7822265625
-1.6875,-0.88330078125,-1.65234375,246.52099609375,-179.3212890625,-207.94677734375
-1.705322265625,-0.91015625,-1.6744384765625,250.8544921875,-173.88916015625,-213.623046875
-1.6903076171875,-0.943115234375,-1.6676025390625,255.06591796875,-167.66357421875,-219.6044921875
-1.658447265625,-0.974609375,-1.6697998046875,258.60595703125,-160.7666015625,-225.40283203125
-1.647705078125,-1.0106201171875,-1.70556640625,262.5732421875,-152.83203125,-230.28564453125
-1.6475830078125,-1.06884765625,-1.73828125,268.06640625,-144.83642578125,-234.92431640625
-1.6529541015625,-1.1435546875,-1.772216796875,273.92578125,-137.20703125,-238.76953125
-1.6529541015625,-1.22412109375,-1.795654296875,277.89306640625,-130.31005859375,-241.3330078125
-1.638671875,-1.2916259765625,-1.802001953125,276.2451171875,-123.53515625,-242.98095703125
-1.59814453125,-1.3450927734375,-1.7900390625,269.10400390625,-116.88232421875,-243.59130859375
-1.5496826171875,-1.37841796875,-1.75341796875,257.75146484375,-110.7177734375,-243.1640625
-1.4395751953125,-1.416259765625,-1.717041015625,225.830078125,-99.853515625,-239.92919921875
-1.4375,-1.446533203125,-1.7154541015625,210.205078125,-96.13037109375,-237.79296875
-1.406005859375,-1.4820556640625,-1.6982421875,197.69287109375,-94.05517578125,-235.4736328125
-1.3505859375,-1.5018310546875,-1.646240234375,187.31689453125,-93.56689453125,-232.97119140625
-1.2646484375,-1.5062255859375,-1.5390625,178.22265625,-93.75,-230.65185546875
-1.157470703125,-1.499755859375,-1.384033203125,168.64013671875,-93.68896484375,-228.69873046875
-1.03857421875,-1.4996337890625,-1.2442626953125,154.9072265625,-92.83447265625,-227.9052734375
-0.9429931640625,-1.543212890625,-1.1729736328125,136.53564453125,-91.00341796875,-227.783203125
-0.8878173828125,-1.6165771484375,-1.138427734375,114.56298828125,-89.599609375,-227.84423828125
-0.8372802734375,-1.6954345703125,-1.113525390625,88.134765625,-89.53857421875,-227.72216796875
-0.77099609375,-1.7579345703125,-1.06494140625,57.92236328125,-91.1865234375,-227.60009765625
-0.7462158203125,-1.781005859375,-0.971923828125,26.06201171875,-94.66552734375,-226.6845703125
-0.7137451171875,-1.75048828125,-0.82177734375,-2.13623046875,-99.18212890625,-225.341796875
-0.6292724609375,-1.6864013671875,-0.6343994140625,-24.4140625,-103.759765625,-223.81591796875
-0.5250244140625,-1.6754150390625,-0.5003662109375,-39.12353515625,-106.93359375,-223.57177734375
-0.546142578125,-1.7193603515625,-0.4285888671875,-47.79052734375,-108.642578125,-223.9990234375
